Taxon,State,Age,Stage,Max_age,Min_age,Formation,Group,Comments
Saurolophus,Wyoming,Cretaceous,Campanian,84.9,70.6,Almond,Pierre ,Partial specimen named by Gates
Brachylophosaurus,Alberta,Cretaceous,,84.9,66.043,Bearpaw,Two Medicine,Partial specimens named by Horner
Edmontonia,Alberta,Cretaceous,,84.9,66.043,Bearpaw,Two Medicine,Partial specimens named by Horner
Prosaurolophus,Alberta,Cretaceous,,84.9,66.043,Bearpaw,Two Medicine,Partial specimens named by Horner
Gryposaurus,Montana,Cretaceous,Campanian,84.2,84,Bearpaw,Two Medicine,Partial specimens named by Horner
Panoplosaurus,Montana,Cretaceous,Campanian,84.2,84,Bearpaw,Two Medicine,Partial specimens named by Horner
Brachylophosaurus,Montana,Cretaceous,Campanian,84.9,70.6,Claggett,Two Medicine,Partial specimen named by Fiorillo
Edmontonia,Colorado,Cretaceous,Maastrichtian,70.6,66.043,Denver,St Mary River,Mostly partial skeletons assessed by Carpenter
Edmontonia,Colorado,Cretaceous,Maastrichtian,70.6,66.043,Denver,St Mary River,
Ornithomimus,Colorado,Cretaceous,Maastrichtian,70.6,66.043,Denver,St Mary River,
Ornithomimus,Colorado,Cretaceous,Maastrichtian,70.6,66.043,Denver,St Mary River,
Ornithomimus,Colorado,Cretaceous,Maastrichtian,70.6,66.043,Denver,St Mary River,
Ornithomimus,Colorado,Cretaceous,Maastrichtian,70.6,66.043,Denver,St Mary River,
Pachycephalosaurus,Colorado,Cretaceous,Maastrichtian,70.6,66.043,Denver,St Mary River,Skull cap only
Triceratops,Colorado,Cretaceous,Maastrichtian,70.6,66.043,Denver,St Mary River,
Triceratops,Colorado,Cretaceous,Maastrichtian,70.6,66.043,Denver,St Mary River,
Tyrannosaurus,Colorado,Cretaceous,Maastrichtian,70.6,66.043,Denver,St Mary River,
Tyrannosaurus,Colorado,Cretaceous,Maastrichtian,70.6,66.043,Denver,St Mary River,
Tyrannosaurus,Colorado,Cretaceous,Maastrichtian,70.6,66.043,Denver,St Mary River,
Tyrannosaurus,Colorado,Cretaceous,Maastrichtian,70.6,66.043,Denver,St Mary River,
Tyrannosaurus,Colorado,Cretaceous,Maastrichtian,70.6,66.043,Denver,St Mary River,
Tyrannosaurus,Colorado,Cretaceous,Maastrichtian,70.6,66.043,Denver,St Mary River,
Anchiceratops,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Anodontosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Avimimus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Brachylophosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Caenagnathus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Caenagnathus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Caenagnathus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Caenagnathus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Caenagnathus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,82.1,81.9,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Centrosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chasmosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chasmosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chasmosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chasmosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chasmosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chasmosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chasmosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chasmosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chasmosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chasmosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chasmosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chasmosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chasmosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chasmosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chirostenotes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chirostenotes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chirostenotes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
