Formation,Member,max_age,min_age,Potential Error Top,Potential Error Base,Reference for age data,Depositional environment,Constraint Type,Other Notes,Location,,
Ferris,,66,62.7,0.5,0.5,"Wrobelewski, 2006",Terrestrial,Biostratigraphy,"Constraint poor, especially considering shifting of K/Pg boundary. Definitely at very last part of maastrichtian. ",WI,Location Key:,
Frenchman,,66.5,66,0.05,0.1,"Brown et ali, 2011; Fowler, 2017",Terrestrial,"Stratigraphy, Palynostratigraphy, magnetostratigraphy","Very well constrained - top is defined as the top of the lowest mappable coal seam of the Ravenscrag Formation, and its lower boundary is defined by the upper erosional surface of the Battle Formation. Broadly equivalent to Hell Creek",WI,WI,Western Interior
Lance,,66.7,66.024,0.014,0.5,"Fowler, 2017",Terrestial,Stratigraphy,Poor constraint - no magnetostrat/radiometric dates available. Followed Fowler (2017) and gave dates of the Hell Creek in Montana,WI,NWT,North Western Territories
Scollard,,66.97,64.667,0.1,0.5,"Brahman, 2018; Fowler, 2017",Terrestrial,Radiometric dating; magnetostratigraphy,Top taken from Brahman (2018) using updated 28N chron from Ogg and Hinnov (2012). Base taken from radiometric date of Kneehills Tuff. May have slight variability/exhibit disconformity at base.,WI,GC,Gulf Coast
Willow Creek,,66.97,64.667,0.1,0.5,"Brahman, 2018; Fowler, 2017",Terrestrial,Radiometric dating; magnetostratigraphy,Top taken from Brahman (2018) using updated 28N chron from Ogg and Hinnov (2012). Base taken from radiometric date of Kneehills Tuff. May have slight variability/exhibit disconformity at base.,WI,EC,East Coast
Hell Creek,,68,66.024,0.014,0.5,"Sprain et al., 2015; Fowler, 2017; Sprain et al., 2018",Terrestrial,"Radiometric dating, magnetostratigraphy, biostratigraphy","Top well constrained. Base more poorly constrained - here taken from same assumptions as Fowler, 2017",WI,WC,West Coast
Denver,,68.369,62.32,0.3,0.3,"Reynolds, 2002; Hicks et al., 2003",Terrestrial,"Radiometric dating, magnetostratigraphy, biostratigraphy","Ajusted to include nomenclature of Reynolds, 2002 (i.e. D1). As such, also includes Arapahoe Conglomerate.",WI,,
Summit Creek,,68.5,59.2,2,1,"Greenwood, 2010; Bell, 2018",Terrestrial,Palynology,Not hugely well constrained. Precise ages not possible.,NWT,,
Black Peaks,,68.5,65,0.5,0.5,"Leslie et al., 2018; Lehman et al., 2018",Terrestrial,"Magnetostratigraphy, biostratigraphy","Currently under revision - Black Peaks ma not fall within Cretaceous at all. As such, all dinosaur remains would be part of the underlying Javelina formation. Leslie et al. (2018) identified as between C31 and Cr29. However, Lehman et al. (2018) claim that nearby dinosaur remains disregard this correlation. ",GC,,
Arapahoe,,68.5,68.4,0.1,0.1,"Raynolds, 2002; Hicks et al, 2003; Raynolds and Johnson, 2003; Fowler, 2017",Terrestrial,"Sequence stratigraphy, Magnetostratigraphy", - Appears at base of D1 sequence,WI,,
