collection_no,source_database,collection.authorizer,family_name,occurrence.genus_reso,occurrence.genus_name,original.genus_reso,original.genus_name,abund_value,abund_unit,occurrence.reference_no,original.reference_no,collection.reference_no,country,state,county,latdec,lngdec,period,epoch,subepoch,stage,10_my_bin,max_interval,min_interval,ma_max,ma_min,ma_mid,geological_group,formation,member,stratcomments,lithdescript,lithadj,lithadj2,environment,geology_comments,,,,,,,
14488,Fossilworks,J. Alroy,Dromaeosauridae,,Saurornitholestes,,,,,3010,,3010,United States,Texas,Brewster,29.2,-103.2,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Judithian,,81.3,76.2,78.75,,Aguja,Upper Shale,Multiple sites from above WPA quarry level - five horizons,"""carbonate-cemented, pedogenic-nodule, sandstone conglomerates containing numerous clasts of clay, pedogenic nodules...""","paleosol/pedogenic,intraclastic",,channel lag,"""lag deposits from the base of fluvial channels""",,,,,,,
14489,Fossilworks,J. Alroy,Caenagnathidae,,Leptorhynchos,,,3,specimens,46506,,2988,United States,Texas,Brewster,29.316667,-103.516667,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Judithian,,76.4,76.2,76.3,,Aguja,Upper Shale,"""microvertebrate-bearing bed is 13 to 18 cm thick"" and ""within several meters of the top of the underlying Terlingua Creek sandstone member"" ammonites and bivalves support a late Campanian age ","""discontinuous stringers of fine (granule to small pebble) conglomerate separated by thin lenses of fine sandstones and clayey siltstone""",,,estuary/bay,"""shallow channel with sluggish current... estuarine environment""",,,,,,,
14489,Fossilworks,J. Alroy,Ornithomimidae,,Ornithomimus,,,1,specimens,46506,,2988,United States,Texas,Brewster,29.316667,-103.516667,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Judithian,,76.4,76.2,76.3,,Aguja,Upper Shale,"""microvertebrate-bearing bed is 13 to 18 cm thick"" and ""within several meters of the top of the underlying Terlingua Creek sandstone member"" ammonites and bivalves support a late Campanian age ","""discontinuous stringers of fine (granule to small pebble) conglomerate separated by thin lenses of fine sandstones and clayey siltstone""",,,estuary/bay,"""shallow channel with sluggish current... estuarine environment""",,,,,,,
14489,Fossilworks,J. Alroy,,cf.,Struthiomimus,,,1,specimens,46506,,2988,United States,Texas,Brewster,29.316667,-103.516667,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Judithian,,76.4,76.2,76.3,,Aguja,Upper Shale,"""microvertebrate-bearing bed is 13 to 18 cm thick"" and ""within several meters of the top of the underlying Terlingua Creek sandstone member"" ammonites and bivalves support a late Campanian age ","""discontinuous stringers of fine (granule to small pebble) conglomerate separated by thin lenses of fine sandstones and clayey siltstone""",,,estuary/bay,"""shallow channel with sluggish current... estuarine environment""",,,,,,,
14489,Fossilworks,J. Alroy,Dromaeosauridae,,Saurornitholestes,cf.,Saurornitholestes,,,11752,2988,2988,United States,Texas,Brewster,29.316667,-103.516667,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Judithian,,76.4,76.2,76.3,,Aguja,Upper Shale,"""microvertebrate-bearing bed is 13 to 18 cm thick"" and ""within several meters of the top of the underlying Terlingua Creek sandstone member"" ammonites and bivalves support a late Campanian age ","""discontinuous stringers of fine (granule to small pebble) conglomerate separated by thin lenses of fine sandstones and clayey siltstone""",,,estuary/bay,"""shallow channel with sluggish current... estuarine environment""",,,,,,,
22709,ETE,A. Behrensmeyer,Ceratopsidae,,Agujaceratops,,Chasmosaurus,10,specimens,5684,,5684,United States,Texas,Brewster,29.138056,-103.196944,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,,Aguja,Upper Shale,lower part of member,"ETE rock type adj: 0, ETE lithology comments: 0",,,fine channel fill,"ETE sed env 1: fluv_deltaic, ETE sed env 2: ab_chan_fill ETE event: ., ETE env comment: 0",,,,,,,
22709,ETE,A. Behrensmeyer,Pachycephalosauridae,n. gen.,Texacephale,,,1,specimens,32091,,5684,United States,Texas,Brewster,29.138056,-103.196944,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,,Aguja,Upper Shale,lower part of member,"ETE rock type adj: 0, ETE lithology comments: 0",,,fine channel fill,"ETE sed env 1: fluv_deltaic, ETE sed env 2: ab_chan_fill ETE event: ., ETE env comment: 0",,,,,,,
22709,ETE,A. Behrensmeyer,Caenagnathidae,,Chirostenotes,,,2,specimens,46506,,5684,United States,Texas,Brewster,29.138056,-103.196944,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,,Aguja,Upper Shale,lower part of member,"ETE rock type adj: 0, ETE lithology comments: 0",,,fine channel fill,"ETE sed env 1: fluv_deltaic, ETE sed env 2: ab_chan_fill ETE event: ., ETE env comment: 0",,,,,,,
25073,PaleoDB,M. Carrano,Ceratopsidae,,Agujaceratops,,Chasmosaurus,,,7029,,7029,United States,Texas,Brewster,29.2,-103.55,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,,Aguja,Upper Shale,,"""silty mudstone to fine sandstone""; very fine to fine grained muddy sandstone, light olive gray, poorly sorted, moderately well indurated; abundant clay balls, pedogenic carbonate nodules","paleosol/pedogenic,very fine,fine,nodular,green",,crevasse splay,"""a crevasse splay into a marshy area of a coastal floodplain""",,,,,,,
25073,PaleoDB,M. Carrano,Dromaeosauridae,cf.,Saurornitholestes,,,,,25812,,7029,United States,Texas,Brewster,29.2,-103.55,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,,Aguja,Upper Shale,,"""silty mudstone to fine sandstone""; very fine to fine grained muddy sandstone, light olive gray, poorly sorted, moderately well indurated; abundant clay balls, pedogenic carbonate nodules","paleosol/pedogenic,very fine,fine,nodular,green",,crevasse splay,"""a crevasse splay into a marshy area of a coastal floodplain""",,,,,,,
48941,ETE,M. Carrano,Ceratopsidae,,Agujaceratops,,Chasmosaurus,1,individuals,14107,,63793,United States,Texas,Brewster,29.134722,-103.203611,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Judithian,,84.9,70.6,77.75,,Aguja,,,"""carbonaceous gray claystone""",gray,,interdistributary bay,"""deltaic interdistributary marshes""",,,,,,,
52462,ETE,M. Carrano,Ceratopsidae,,Agujaceratops,,Chasmosaurus,1,individuals,14107,,14107,United States,Texas,Brewster,29.174419,-103.201478,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Judithian,,84.9,70.6,77.75,,Aguja,,,"""carbonaceous gray claystone""",gray,,interdistributary bay,"""deltaic interdistributary marshes""",,,,,,,
